"Name","Latitude","Longitude","Year","SL_mm","Inv_Bar_Contribution","Inv_Bar_Effects"
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900,6931.93883003192,11.1438347646807,-235.465777212108
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.08333333333,6960.65570261835,18.4188797021806,-181.993412761424
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.16666666667,6960.20445926275,-1.68710340719493,-119.825298517312
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.25,6974.11370408411,-2.6476553446946,-24.1922647889984
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.33333333333,7033.20135970007,-6.36914428740331,58.3563686756897
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.41666666667,7046.64523720509,-7.25337641240241,58.1378847528231
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.5,7017.1134775287,-0.686651526986102,55.7339203933593
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.58333333333,7050.90143299474,-10.6280411155275,68.0260502344336
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.66666666667,7021.97387121939,-9.62673001136161,87.8214218811768
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.75,7045.08221649053,-33.9472584488611,14.1108089170231
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.83333333333,7004.9566787032,9.25541594176408,-59.3322764386239
"NEW YORK (THE BATTERY)",40.7,-74.013333,1900.91666666667,7042.67461917673,2.39787612926418,43.0852572544821
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901,7107.01498527956,29.0626697646805,-35.800947807698
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.08333333333,6867.73185786598,53.3713331396803,-95.2538380602321
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.16666666667,7016.28061451038,17.8871409678051,73.2480481782548
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.25,7207.18985933174,4.35402684280513,155.817672473095
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.33333333333,7138.2775149477,25.8483863375973,18.6013177940605
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.41666666667,7084.72139245272,-6.39536141240291,19.1234141173587
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.5,7092.18963277633,8.61239691051345,46.2088705107851
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.58333333333,7097.97758824237,-3.77247017802815,24.0257860136462
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.66666666667,7111.05002646703,2.68936030113847,-3.95028638806583
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.75,6994.15837173816,-24.0303459488618,-15.0236751113961
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.83333333333,7070.03283395083,20.3435500042639,33.4760827961757
"NEW YORK (THE BATTERY)",40.7,-74.013333,1901.91666666667,7098.75077442436,-9.022116995736,-20.392431677502
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902,7050.09114052719,-4.62763117281993,2.38911090718667
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.08333333333,7087.80801311361,56.4435553271802,56.0967455929464
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.16666666667,7127.35676975801,18.8174344053052,11.5140877678594
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.25,7068.26601457937,33.0594471553056,-48.0360076583985
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.33333333333,7011.35367019533,-3.85183397490335,-48.0965429429695
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.41666666667,7030.79754770035,22.5136820250972,-0.908049044096484
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.5,7080.26578802396,-7.30129433948615,17.0024186569424
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.58333333333,7078.05374349,11.8319004469718,18.7635076475756
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.66666666667,7094.12618171466,-6.05399907386152,7.08416764306553
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.75,7096.2345269858,-4.31154469886167,13.0332527667192
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.83333333333,7150.10898919846,-18.1948465582368,55.2549602319885
"NEW YORK (THE BATTERY)",40.7,-74.013333,1902.91666666667,7136.82692967199,-17.8463038707366,-33.9161834990961
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903,7008.16729577482,13.1730713271807,-122.369736708739
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.08333333333,6936.88416836124,-22.16196561032,-52.456909047023
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.16666666667,7061.43292500564,-73.643785282195,30.0082357686694
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.25,7160.342169827,18.9612659053049,37.1217990119775
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.33333333333,7049.42982544297,-55.8860914749025,67.2292302352942
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.41666666667,7171.87370294798,-2.54051141240246,61.587582753289
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.5,7069.34194327159,19.6981994105134,18.6339710465294
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.58333333333,7097.12989873763,6.11102325947172,12.3684484783003
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.66666666667,7040.20233696229,-13.2686306363617,7.29750048511155
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.75,7161.31068223343,12.9466809261381,0.482874399686972
"NEW YORK (THE BATTERY)",40.7,-74.013333,1903.83333333333,7032.18514444609,-2.56249718323687,-110.32540569967
