"Name","Latitude","Longitude","Year","SL_mm","Inv_Bar_Contribution","Inv_Bar_Effects"
"PORT JEFFERSON",40.95,-73.076667,1900,6904.36414685272,11.2878161780533,-235.465777212108
"PORT JEFFERSON",40.95,-73.076667,1900.08333333333,6926.65304465242,18.9144736936782,-181.993412761424
"PORT JEFFERSON",40.95,-73.076667,1900.16666666667,6928.15977921082,0.233118448886618,-119.825298517312
"PORT JEFFERSON",40.95,-73.076667,1900.25,6937.25781490526,0.277586527012073,-24.1922647889984
"PORT JEFFERSON",40.95,-73.076667,1900.33333333333,6979.18611596439,-6.13173198340519,58.3563686756897
"PORT JEFFERSON",40.95,-73.076667,1900.41666666667,6990.94426933003,-7.00577863444631,58.1378847528231
"PORT JEFFERSON",40.95,-73.076667,1900.5,6947.33281964469,-0.563671446946848,55.7339203933593
"PORT JEFFERSON",40.95,-73.076667,1900.58333333333,6960.74411443423,-11.7325293844465,68.0260502344336
"PORT JEFFERSON",40.95,-73.076667,1900.66666666667,6944.82735032885,-10.7215034365294,87.8214218811768
"PORT JEFFERSON",40.95,-73.076667,1900.75,6962.13943938345,-34.6669007386126,14.1108089170231
"PORT JEFFERSON",40.95,-73.076667,1900.83333333333,6925.86353867252,7.90218449576181,-59.3322764386239
"PORT JEFFERSON",40.95,-73.076667,1900.91666666667,6961.36937466506,2.06997088117851,43.0852572544821
"PORT JEFFERSON",40.95,-73.076667,1901,6996.42205236368,29.6014624280533,-35.800947807698
"PORT JEFFERSON",40.95,-73.076667,1901.08333333333,6799.71418664817,59.432366818679,-95.2538380602321
"PORT JEFFERSON",40.95,-73.076667,1901.16666666667,6946.50870673004,15.6812743863869,73.2480481782548
"PORT JEFFERSON",40.95,-73.076667,1901.25,7051.91280030019,7.29636683951189,155.817672473095
"PORT JEFFERSON",40.95,-73.076667,1901.33333333333,7051.90121967329,26.8466652040949,18.6013177940605
"PORT JEFFERSON",40.95,-73.076667,1901.41666666667,7016.98547545342,-5.10710957194686,19.1234141173587
"PORT JEFFERSON",40.95,-73.076667,1901.5,7008.08219438176,9.34857792805379,46.2088705107851
"PORT JEFFERSON",40.95,-73.076667,1901.58333333333,7030.69494879477,-4.41375469694666,24.0257860136462
"PORT JEFFERSON",40.95,-73.076667,1901.66666666667,7030.88819475785,2.59482718847037,-3.95028638806583
"PORT JEFFERSON",40.95,-73.076667,1901.75,6932.61747105185,-23.8694348011132,-15.0236751113961
"PORT JEFFERSON",40.95,-73.076667,1901.83333333333,6979.62895546143,24.0606898082621,33.4760827961757
"PORT JEFFERSON",40.95,-73.076667,1901.91666666667,7034.59273935685,-10.4699494313219,-20.392431677502
"PORT JEFFERSON",40.95,-73.076667,1902,6991.76221163248,-4.66084850944605,2.38911090718667
"PORT JEFFERSON",40.95,-73.076667,1902.08333333333,7011.22145825205,60.0688833811781,56.0967455929464
"PORT JEFFERSON",40.95,-73.076667,1902.16666666667,7086.05521291691,19.1475306363863,11.5140877678594
"PORT JEFFERSON",40.95,-73.076667,1902.25,7008.26298009083,34.1450862145124,-48.0360076583985
"PORT JEFFERSON",40.95,-73.076667,1902.33333333333,6953.99900787809,-1.29140823340528,-48.0965429429695
"PORT JEFFERSON",40.95,-73.076667,1902.41666666667,6963.19009518289,24.7314501155537,-0.908049044096484
"PORT JEFFERSON",40.95,-73.076667,1902.5,7015.63904876078,-7.60809894694681,17.0024186569424
"PORT JEFFERSON",40.95,-73.076667,1902.58333333333,7015.13117461572,12.6330759280531,18.7635076475756
"PORT JEFFERSON",40.95,-73.076667,1902.66666666667,7017.98459859495,-7.02286812402964,7.08416764306553
"PORT JEFFERSON",40.95,-73.076667,1902.75,7057.86509041987,-4.42031761361317,13.0332527667192
"PORT JEFFERSON",40.95,-73.076667,1902.83333333333,7066.57724087991,-18.837728629238,55.2549602319885
"PORT JEFFERSON",40.95,-73.076667,1902.91666666667,7074.03163198152,-17.1250059938212,-33.9161834990961
"PORT JEFFERSON",40.95,-73.076667,1903,6967.15620560141,14.308743990553,-122.369736708739
"PORT JEFFERSON",40.95,-73.076667,1903.08333333333,6932.0519193153,-22.4311241188211,-52.456909047023
"PORT JEFFERSON",40.95,-73.076667,1903.16666666667,7031.24760742093,-76.6866828011135,30.0082357686694
"PORT JEFFERSON",40.95,-73.076667,1903.25,7085.94549222364,19.2961418395114,37.1217990119775
"PORT JEFFERSON",40.95,-73.076667,1903.33333333333,6965.96686276066,-56.9465822959053,67.2292302352942
"PORT JEFFERSON",40.95,-73.076667,1903.41666666667,7083.79971077731,-3.44081957194668,61.587582753289
"PORT JEFFERSON",40.95,-73.076667,1903.5,6999.51429590953,20.0605532405539,18.6339710465294
"PORT JEFFERSON",40.95,-73.076667,1903.58333333333,7021.50654381988,4.84021686555388,12.3684484783003
"PORT JEFFERSON",40.95,-73.076667,1903.66666666667,6991.23864713151,-12.4087774990299,7.29750048511155
"PORT JEFFERSON",40.95,-73.076667,1903.75,7078.16149206675,13.5824536363868,0.482874399686972
"PORT JEFFERSON",40.95,-73.076667,1903.83333333333,6959.96228694751,-0.56216456673847,-110.32540569967
"PORT JEFFERSON",40.95,-73.076667,1903.91666666667,6901.11613797741,7.78385338117883,-103.496230172441
"PORT JEFFERSON",40.95,-73.076667,1904,6968.01249438777,-20.7113247594464,-37.5861432159774
"PORT JEFFERSON",40.95,-73.076667,1904.08333333333,6880.33750488236,-43.633576306322,-33.8480218630373
"PORT JEFFERSON",40.95,-73.076667,1904.16666666667,6956.78648996992,-42.4647856136133,-18.2642633685644
"PORT JEFFERSON",40.95,-73.076667,1904.25,6941.01286588586,-9.2950319104878,-8.32188293294261
"PORT JEFFERSON",40.95,-73.076667,1904.33333333333,6946.45277691669,-14.2820972959048,37.5768702917596
"PORT JEFFERSON",40.95,-73.076667,1904.41666666667,6981.24210262405,-31.3130948844459,54.9304479959373
"PORT JEFFERSON",40.95,-73.076667,1904.5,6973.3605794941,-6.33273425944653,6.15122775878998
"PORT JEFFERSON",40.95,-73.076667,1904.58333333333,6942.5417352848,-7.01344688444643,-29.3235892073535
"PORT JEFFERSON",40.95,-73.076667,1904.66666666667,6951.03893257979,-11.3486937490299,-28.9551396106715
"PORT JEFFERSON",40.95,-73.076667,1904.75,6953.41648671853,-9.95777855111318,12.0575059619801
"PORT JEFFERSON",40.95,-73.076667,1904.83333333333,6977.63172257819,13.1474229332622,56.78399875528
"PORT JEFFERSON",40.95,-73.076667,1904.91666666667,6972.66750233499,-0.813394743821948,58.8711238811859
"PORT JEFFERSON",40.95,-73.076667,1905,6975.46765573116,-19.8478694469463,14.4460411065201
"PORT JEFFERSON",40.95,-73.076667,1905.08333333333,6888.38281896656,-44.5452172438217,-7.83546482588686
"PORT JEFFERSON",40.95,-73.076667,1905.16666666667,6952.34346407461,-44.1559456136129,-2.45745873226004
"PORT JEFFERSON",40.95,-73.076667,1905.25,6936.27366539363,22.6170640270123,-25.5678996376507
"PORT JEFFERSON",40.95,-73.076667,1905.33333333333,6910.95293859167,-10.8857879209051,13.5597168481341
"PORT JEFFERSON",40.95,-73.076667,1905.41666666667,6941.24101488416,-9.63422675944686,45.6290049586192
"PORT JEFFERSON",40.95,-73.076667,1905.5,6960.72736615351,-11.184715821946,46.7258506036637
"PORT JEFFERSON",40.95,-73.076667,1905.58333333333,6970.21670358788,-6.68858250944698,32.5607353600095
"PORT JEFFERSON",40.95,-73.076667,1905.66666666667,6959.79399520628,-10.3189203115299,1.59726601127912
"PORT JEFFERSON",40.95,-73.076667,1905.75,6938.30777347927,-28.0981119886135,-44.3487809827074
"PORT JEFFERSON",40.95,-73.076667,1905.83333333333,6918.08907094261,-2.59684144173792,-45.9166321354428
"PORT JEFFERSON",40.95,-73.076667,1905.91666666667,7000.98417727401,-15.3879919313219,40.5654729945444
"PORT JEFFERSON",40.95,-73.076667,1906,7035.05916030475,-27.1783019469469,73.5905742835446
"PORT JEFFERSON",40.95,-73.076667,1906.08333333333,6960.711259756,-43.7182897438218,-19.3462063209193
"PORT JEFFERSON",40.95,-73.076667,1906.16666666667,6897.0057752847,-23.6755006136137,-94.4596764610637
"PORT JEFFERSON",40.95,-73.076667,1906.25,6979.97378801914,4.28476527701189,-46.3291326188897
"PORT JEFFERSON",40.95,-73.076667,1906.33333333333,6934.28848938699,4.15512176659486,-29.3596153172109
"PORT JEFFERSON",40.95,-73.076667,1906.41666666667,7004.09305547988,9.08200261555368,16.8002164226118
"PORT JEFFERSON",40.95,-73.076667,1906.5,7010.8936940487,-1.8188292594464,1.69555753168026
"PORT JEFFERSON",40.95,-73.076667,1906.58333333333,7012.55446552976,2.73248436555311,0.246735177366626
"PORT JEFFERSON",40.95,-73.076667,1906.66666666667,6978.58441033368,-0.804590936530043,18.4379683799305
"PORT JEFFERSON",40.95,-73.076667,1906.75,7004.71441381749,1.98837051138732,42.5230796279037
"PORT JEFFERSON",40.95,-73.076667,1906.83333333333,6936.9677810532,7.29053793326216,32.495888382127
"PORT JEFFERSON",40.95,-73.076667,1906.91666666667,6934.3558713705,-13.6136728688217,-23.005502464783
"PORT JEFFERSON",40.95,-73.076667,1907,6978.60323368803,-50.1884922594474,-28.6683339640256
"PORT JEFFERSON",40.95,-73.076667,1907.08333333333,6915.75070995649,-15.7978288063218,-43.1936424081091
"PORT JEFFERSON",40.95,-73.076667,1907.16666666667,6964.84014438072,-23.8814553011133,-20.6487648514258
"PORT JEFFERSON",40.95,-73.076667,1907.25,6936.51619339613,28.9721262145114,-22.8607440041408
"PORT JEFFERSON",40.95,-73.076667,1907.33333333333,6945.6864852787,-2.98412260840519,27.8060851909922
"PORT JEFFERSON",40.95,-73.076667,1907.41666666667,6997.34543557887,1.59380105305323,43.3612380333316
"PORT JEFFERSON",40.95,-73.076667,1907.5,6964.99201719208,24.436118865553,4.48640581284618
"PORT JEFFERSON",40.95,-73.076667,1907.58333333333,6945.90542127589,-9.29371500944616,-13.587152468344
"PORT JEFFERSON",40.95,-73.076667,1907.66666666667,6938.0849686884,3.16606000096968,-38.9485034991276
"PORT JEFFERSON",40.95,-73.076667,1907.75,6923.08171603521,-10.8484354261137,-29.4252250729672
"PORT JEFFERSON",40.95,-73.076667,1907.83333333333,6998.85054209792,-10.7029070667382,-16.2712530265666
"PORT JEFFERSON",40.95,-73.076667,1907.91666666667,7044.55291626196,8.051205881179,-72.6627439575455
"PORT JEFFERSON",40.95,-73.076667,1908,6983.10159053363,18.125511803053,-82.9819170524424
"PORT JEFFERSON",40.95,-73.076667,1908.08333333333,6948.11577042522,-19.8073391188215,-91.7715701345102
"PORT JEFFERSON",40.95,-73.076667,1908.16666666667,6952.33884774694,-46.9001946761127,-116.074663246536
"PORT JEFFERSON",40.95,-73.076667,1908.25,6871.98906070738,-1.10114409798833,-58.2768749483603
"PORT JEFFERSON",40.95,-73.076667,1908.33333333333,6990.45664545759,-2.92194760840497,23.8270477824475
"PORT JEFFERSON",40.95,-73.076667,1908.41666666667,6955.87386582011,-32.975498946947,31.2071226759215
"PORT JEFFERSON",40.95,-73.076667,1908.5,6943.17112551848,-28.496567384446,51.3490042802458
"PORT JEFFERSON",40.95,-73.076667,1908.58333333333,7009.84469989798,-4.92048094694698,66.3093965581878
"PORT JEFFERSON",40.95,-73.076667,1908.66666666667,6965.84209406428,-15.4118299990298,83.4770406925402
"PORT JEFFERSON",40.95,-73.076667,1908.75,7012.96539942064,-22.5692001136135,-5.69872317084615
"PORT JEFFERSON",40.95,-73.076667,1908.83333333333,6862.09818608275,14.2409257457616,-106.353052341032
"PORT JEFFERSON",40.95,-73.076667,1908.91666666667,6927.61419050627,5.41654025617833,-17.9039428852444
"PORT JEFFERSON",40.95,-73.076667,1909,6990.92003101251,-17.5948028844471,-22.9646800283638
"PORT JEFFERSON",40.95,-73.076667,1909.08333333333,6989.41640642024,21.3525108811789,-115.250228926863
"PORT JEFFERSON",40.95,-73.076667,1909.16666666667,6943.07218720455,49.7850390738868,-73.1222314585067
"PORT JEFFERSON",40.95,-73.076667,1909.25,6925.73634152014,-33.5393959729887,-5.27919281790742
"PORT JEFFERSON",40.95,-73.076667,1909.33333333333,7035.79782886987,9.57211864159463,27.689129813809
"PORT JEFFERSON",40.95,-73.076667,1909.41666666667,6969.25668871098,-5.75372957194627,8.38197575766943
"PORT JEFFERSON",40.95,-73.076667,1909.5,6969.70765549078,6.96572105305351,28.470862025377
"PORT JEFFERSON",40.95,-73.076667,1909.58333333333,6996.50708274498,-10.3724512594465,58.2710467230188
"PORT JEFFERSON",40.95,-73.076667,1909.66666666667,6968.90619137331,-21.0604287490304,-8.35943782089649
"PORT JEFFERSON",40.95,-73.076667,1909.75,6905.63558400845,0.0811523863866881,2.37464611239377
"PORT JEFFERSON",40.95,-73.076667,1909.83333333333,6937.96169418018,-27.5896370667381,91.5385238780339
"PORT JEFFERSON",40.95,-73.076667,1909.91666666667,7015.48861848585,58.4020752561791,64.4090981824796
"PORT JEFFERSON",40.95,-73.076667,1910,7037.12794224531,-4.60411382194637,-33.8674892713734
"PORT JEFFERSON",40.95,-73.076667,1910.08333333333,6954.59647948669,-16.9923659938214,-54.0329136689535
