"Name","Latitude","Longitude","Year","SL_mm","Inv_Bar_Contribution","Inv_Bar_Effects"
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900,6734.90861572883,11.1438347646807,-235.465777212108
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.08333333333,6755.49932785216,18.4188797021806,-181.993412761424
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.16666666667,6759.09996463399,-1.68710340719493,-119.825298517312
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.25,6772.8803631659,-2.6476553446946,-24.1922647889984
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.33333333333,6819.25042790296,-6.36914428740331,58.3563686756897
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.41666666667,6830.80292185251,-7.25337641240241,58.1378847528231
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.5,6770.05200819218,-0.686651526986102,55.7339203933593
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.58333333333,6781.3225228787,-10.6280411155275,68.0260502344336
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.66666666667,6759.66243820712,-9.62673001136161,87.8214218811768
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.75,6790.69014460983,-33.9472584488611,14.1108089170231
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.83333333333,6744.79812739301,9.25541594176408,-59.3322764386239
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1900.91666666667,6792.25113498038,2.39787612926418,43.0852572544821
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901,6828.64535193424,29.0626697646805,-35.800947807698
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.08333333333,6591.42680852118,53.3713331396803,-95.2538380602321
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.16666666667,6766.73595845646,17.8871409678051,73.2480481782548
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.25,6905.42999016587,4.35402684280513,155.817672473095
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.33333333333,6903.31939965476,25.8483863375973,18.6013177940605
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.41666666667,6861.6629811727,-6.39536141240291,19.1234141173587
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.5,6843.22442923099,8.61239691051345,46.2088705107851
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.58333333333,6875.59417966169,-3.77247017802815,24.0257860136462
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.66666666667,6884.80382944296,2.68936030113847,-3.95028638806583
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.75,6771.529071433,-24.0303459488618,-15.0236751113961
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.83333333333,6811.58698674367,20.3435500042639,33.4760827961757
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1901.91666666667,6887.21972950536,-9.022116995736,-20.392431677502
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902,6835.33522985052,-4.62763117281993,2.38911090718667
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.08333333333,6845.66199388326,56.4435553271802,56.0967455929464
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.16666666667,6959.38609356866,18.8174344053052,11.5140877678594
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.25,6854.74344970203,33.0594471553056,-48.0360076583985
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.33333333333,6791.36491663027,-3.85183397490335,-48.0965429429695
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.41666666667,6796.12293378538,22.5136820250972,-0.908049044096484
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.5,6860.43165569579,-7.30129433948615,17.0024186569424
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.58333333333,6860.61213664486,11.8319004469718,18.7635076475756
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.66666666667,6854.54263856756,-6.05399907386152,7.08416764306553
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.75,6918.64609487899,-4.31154469886167,13.0332527667192
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.83333333333,6927.27781199703,-18.1948465582368,55.2549602319885
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1902.91666666667,6934.67479609273,-17.8463038707366,-33.9161834990961
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903,6812.15959347378,13.1730713271807,-122.369736708739
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.08333333333,6782.60358692963,-22.16196561032,-52.456909047023
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.16666666667,6898.95115000234,-73.643785282195,30.0082357686694
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.25,6947.97019062089,18.9612659053049,37.1217990119775
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.33333333333,6816.90804748801,-55.8860914749025,67.2292302352942
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.41666666667,6946.83261420988,-2.54051141240246,61.587582753289
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.5,6846.05498141134,19.6981994105134,18.6339710465294
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.58333333333,6867.07490038379,6.11102325947172,12.3684484783003
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.66666666667,6838.4246549699,-13.2686306363617,7.29750048511155
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.75,6930.94314129845,12.9466809261381,0.482874399686972
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.83333333333,6799.82701730539,-2.56249718323687,-110.32540569967
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1903.91666666667,6728.07498756526,7.5179873792634,-103.496230172441
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904,6806.37135725419,-21.5524433603191,-37.5861432159774
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.08333333333,6714.51888983273,-45.8436459228194,-33.8480218630373
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.16666666667,6802.34402280896,-42.1140655946948,-18.2642633685644
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.25,6773.96719069418,-10.4980262821942,-8.32188293294261
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.33333333333,6784.97933987871,-14.5575917874034,37.5768702917596
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.41666666667,6824.3758715701,-31.5762364124029,54.9304479959373
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.5,6812.84941566009,-7.22979308948628,6.15122775878998
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.58333333333,6773.25473527153,-7.29468392802756,-29.3235892073535
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.66666666667,6791.68842202058,-10.6129809488618,-28.9551396106715
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.75,6801.94588391089,-9.97102407386109,12.0575059619801
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.83333333333,6815.94247462644,11.4307637542634,56.78399875528
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1904.91666666667,6809.97803349115,-0.779266370736186,58.8711238811859
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905,6807.63175558829,-21.1032289853192,14.4460411065201
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.08333333333,6721.52247815403,-46.2687674853195,-7.83546482588686
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.16666666667,6804.33876156807,-43.2806240321944,-2.45745873226004
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.25,6769.83192691641,21.8617296553054,-25.5678996376507
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.33333333333,6736.97193696241,-10.3040445999025,13.5597168481341
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.41666666667,6777.65755044231,-9.42017516240278,45.6290049586192
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.5,6801.71002875752,-10.2895802769859,46.7258506036637
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.58333333333,6817.66279059018,-6.71257049052828,32.5607353600095
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.66666666667,6800.04683541622,-10.3417425113614,1.59726601127912
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.75,6779.28138164871,-27.6706921988615,-44.3487809827074
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.83333333333,6755.78046389005,-3.62491249573674,-45.9166321354428
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1905.91666666667,6849.81273918839,-15.5061923082366,40.5654729945444
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906,6889.80540098641,-25.1453811728199,73.5905742835446
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.08333333333,6810.44833123504,-44.7260502978191,-19.3462063209193
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.16666666667,6734.15913043961,-24.2255409071949,-94.4596764610637
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.25,6825.82475098356,2.43437371780535,-46.3291326188897
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.33333333333,6773.99225855739,2.9982966500966,-29.3596153172109
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.41666666667,6858.11979624304,9.06600671259727,16.8002164226118
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.5,6866.2978685056,-0.743386214486916,1.69555753168026
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.58333333333,6862.51557307325,3.27895200947154,0.246735177366626
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.66666666667,6816.75295974612,-0.0152521988617502,18.4379683799305
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.75,6850.95110193447,3.10826436363842,42.5230796279037
"BERGEN POINT, STATEN IS.",40.636667,-74.141667,1906.83333333333,6767.73272267351,4.33737344176417,32.495888382127
